name,email_address,social_security_num,gender_age,ethnicity,movie1,movie2,movie3,movie4,movie5
Haley Nelson,caroline98@example.org,881-60-1338,Male 18-24,African-American or Black,Friday, , , , 
Stephanie Fitzgerald,gonzaleztheresa@example.org,562-36-6291,Female 14-17,Caucasian or White,Twilight,The Twilight Saga: Eclipse,The Twilight Saga: Breaking Dawn - Part 1,The Twilight Saga: Breaking Dawn - Part 2,The Addams Family
Michael Roberts,uhernandez@example.net,656-91-4650,Male 14-17,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Star Trek,The Fast and the Furious,Apollo 13,Dune
Heather West,mphelps@example.org,045-08-7291,Female 14-17,Caucasian or White,Fifty Shades of Grey,The Walking Dead,American Pop,Stop! Or My Mom Will Shoot,Keeping Up with the Joneses
Bonnie Bryant,pattonjoshua@example.org,202-49-0425,Female 14-17,Caucasian or White,Forrest Gump,Rad,National Lampoon's Christmas Vacation,Taken,Cast Away
Mark Howard,william96@example.com,131-08-4243,Male 18-24,African-American or Black,Avengers: Endgame,Sherlock Holmes: A Game of Shadows,Limitless,Spider-Man: Into the Spider-Verse,Deadpool
James Greene,dana57@example.org,390-49-2078,Male 18-24,African-American or Black,Scarface,Rush Hour,Rush Hour 2,Rush Hour 3,Limitless
Mary Petersen,mallen@example.com,740-10-4583,Male 18-24,African-American or Black,Titanic,Avengers: Endgame, , , 
Scott Camacho,mary96@example.org,509-31-6196,Male 14-17,Caucasian or White,School Spirit,Harry Potter and the Chamber of Secrets,Conspiracy Theory,Oz,Annabelle
Lori Galloway,boonelarry@example.org,607-57-2878,Male 18-24,Asian or Pacific Islander,Law Abiding Citizen,Forrest Gump,Kung Fu Hustle,Shaolin Soccer,Fury
James Brown,newmanmarie@example.org,375-62-4254,Female 14-17,Asian or Pacific Islander,Aladdin, , , , 
James Yates,rrandall@example.net,246-57-5680,Male 18-24,Other,Captain America: Civil War, , , , 
Christine Kerr,bwarner@example.net,793-07-9765,Female 25-34,Caucasian or White,The Notebook,John Wick: Chapter 2,John Wick: Chapter 3 - Parabellum,Monster high,The Conjuring
Tony Roberts,leonardraven@example.com,369-24-1194,Female 35-54,Asian or Pacific Islander,The Big Sick,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Star Wars: Episode VI - Return of the Jedi,Star Wars: Episode V - The Empire Strikes Back
Robert Miller,jameswhitehead@example.com,614-80-2308,Female 35-54,Caucasian or White,The Wizard of Oz,Halloween,Friday the 13th,the omen,Child's Play
Maria Bonilla,ilivingston@example.com,303-17-6140,Male 35-54,Caucasian or White,Titanic,Captain Marvel,Harry Potter and the Deathly Hallows: Part 1,Jurassic World: Fallen Kingdom,Godzilla: King of the Monsters
Kimberly Vasquez,christopher95@example.net,759-22-1024,Female 35-54,African-American or Black,The Princess Bride,Star Wars: Episode VII - The Force Awakens,Thor: Ragnarok,Talladega Nights: The Ballad of Ricky Bobby,Pacific Rim
Debra Wilkins,williamwiggins@example.net,629-40-3009,Female 35-54,African-American or Black,Beaches,The Green Mile,Fried Green Tomatoes,Save the Last Dance,How to Lose a Guy in 10 Days
Raymond Bell,sandra76@example.org,351-52-8337,Female 35-54,Caucasian or White,Star Wars: Episode V - The Empire Strikes Back,Jesus Christ Superstar,The Sound of Music,Peter Pan,Titanic
Brian Swanson,gallagherchristopher@example.com,572-42-9968,Female 35-54,Caucasian or White,Star wars,The Lord of the Rings,James bond,The Bourne Identity,The Lion King
Angela Kemp,nsmith@example.org,294-36-7745,Female 35-54,Caucasian or White,The Wizard of Oz,Maleficent,The Hunger Games, , 
James Cabrera,ajohnson@example.com,770-17-5854,Female 35-54,Caucasian or White,Toy Story,Big Hero 6,The Matrix,The Martian,Gigi
Christopher Cole,hawkinsjames@example.org,478-11-1473,Female 35-54,Caucasian or White,Jaws,Back to the Future,Old School,Avengers: Endgame,Thor: Ragnarok
Julie Brown,stevesmith@example.net,323-03-1187,Male 35-54,American Indian or Alaska Native,Goodfellas,Leaving Las Vegas,Good Will Hunting,National Lampoon's Animal House,The Silence of the Lambs
Courtney White,samuel00@example.net,725-54-8279,Female 25-34,Asian or Pacific Islander,The Notebook,Coraline,The Lion King,Moana,Frozen
Jane Hall,jessicablankenship@example.net,718-01-2704,Female 25-34,Caucasian or White,Forrest Gump,The Lord of the Rings,Ever After: A Cinderella Story,A Cinderella Story,Alice in Wonderland
Miss Bridget Brown MD,msmith@example.com,437-83-3158,Male 35-54,Other,Get Smart,Wreck-It Ralph, , , 
Dwayne Rivas,zlewis@example.org,699-28-2304,Male 18-24,Caucasian or White,Zootopia,Tremors,The simpsons movie,Shin Godzilla,Peter jackson's king kong
Angel Morse,baileyanna@example.com,661-37-4683,Male 18-24,Caucasian or White,Finding Nemo,The Land Before Time,Ride Along, , 
Daisy Thompson,kevinporter@example.org,516-20-6118,Female 35-54,Asian or Pacific Islander,Back to the Future, , , , 
Melissa Montes,melissajordan@example.net,118-24-5210,Female 18-24,Other,"Monsters, Inc.",The Lion King,Superbad,Pineapple Express,Sinister
Sean Vargas,andersonrichard@example.com,299-94-3743,Male 18-24,Caucasian or White,Pirates of the Caribbean: Dead Man's Chest,The Tourist,Deadpool,Spider-Man: Homecoming, 
Dennis Brown,nicole90@example.net,642-62-9835,Male 35-54,Caucasian or White,Spider-Man,The Avengers, , , 
Mark Gray,yvonne69@example.org,040-19-3653,Male 18-24,Asian or Pacific Islander,i want to eat your pancreas,your name,a silent voice, , 
Kerri Weaver,randall15@example.net,016-78-9799,Male 35-54,Caucasian or White,Resident Evil,Fast and Furious,Twister,Independence Day,Zombieland
Sabrina Patterson,michellesullivan@example.org,406-27-7826,Female 25-34,Asian or Pacific Islander,The Notebook,A Walk to Remember,Titanic, , 
Darlene Cook,davidlowe@example.net,126-64-3501,Female 18-24,Other,The Mummy,Deadpool,Skyscraper, , 
Philip Gardner II,zhamilton@example.com,187-60-7172,Female 35-54,Caucasian or White,Beauty and the Beast,Aladdin,The Theory of Everything,Harry Potter and the Goblet of Fire,Star Wars: Episode IV - A New Hope
Tina Andrews,pattersonstephen@example.net,096-56-0101,Female 35-54,Caucasian or White,Life Is Beautiful,Airplane!,The Fountain, , 
Sandra Jones,jessica91@example.org,047-39-0975,Male 18-24,Caucasian or White,The Blackcoat's Daughter,Silent Hill,The Invitation,Apostle,Hellraiser
Kayla Jensen,brandonsmith@example.org,059-87-6260,Male 25-34,Caucasian or White,Pet Sematary,Batman,Spider-Man,Fantastic Four,Love
Brandi Lee,ugonzales@example.org,745-73-6598,Male 35-54,Caucasian or White,Fast and Furious,Mission: Impossible - Ghost Protocol,Ghost Rider,Rambo,Romeo and Juliet
Ryan Andrade,floresjeffery@example.net,216-80-7328,Female 35-54,Caucasian or White,The Curious Case of Benjamin Button,The Thomas Crown Affair,Titanic,Pearl Harbor, 
Connie Pittman,christopherespinoza@example.com,190-40-2932,Female 25-34,Asian or Pacific Islander,Fifty Shades Darker,Fifty Shades Freed,Deepwater Horizon,Spider-Man,Fifty Shades of Grey
Nicholas Gomez,angela65@example.com,451-61-1873,Female 25-34,African-American or Black,Avatar, , , , 
Miranda Marshall,kmatthews@example.com,037-84-0549,Male 18-24,Caucasian or White,The Longest Yard,Chappie,Tenacious D in The Pick of Destiny, , 
Tammy Wade,wmills@example.net,726-50-1897,Female 35-54,Caucasian or White,The Godfather,The Age of Innocence,Tombstone,The Wizard of Oz,Babe
John Williams,xwillis@example.org,791-15-5516,Male 35-54,Caucasian or White,The King of Comedy,Spider-Man: Far from Home,Home Alone, , 
Bryan Tate,flowerssierra@example.net,665-67-1274,Female 35-54,Caucasian or White,Terms of Endearment,Moonlight,Fried Green Tomatoes,Steel Magnolias,It's a Wonderful Life
David Rodriguez,lauradaniels@example.com,237-72-6671,Male 35-54,Caucasian or White,Man on Fire,Schindler's List,The Shawshank Redemption,Robin Hood,The Goonies
Isaac Riley,lopezdarrell@example.com,246-48-8278,Female 25-34,Caucasian or White,The Dark Knight,Avengers: Infinity War,The Lord of the Rings: The Fellowship of the Ring, , 
Patricia Johnson,fowlershawn@example.net,120-15-6640,Female 35-54,Caucasian or White,Mission: Impossible II,Wonder Woman,Incredibles 2,Fantastic Beasts: The Crimes of Grindelwald,Harry Potter and the Goblet of Fire
Sandra Smith,patrickcook@example.com,535-65-2837,Female 14-17,Asian or Pacific Islander,The Grinch,The Cat in the Hat,The Fault in Our Stars,The Adventures of Sharkboy and Lavagirl,Bring It On
Christopher Blevins,stephen84@example.org,617-85-7934,Male 25-34,Caucasian or White,The Departed,The Dark Knight,The Hangover,Pulp Fiction,The Wolf of Wall Street
Alisha Hall,aevans@example.org,093-38-4739,Female 35-54,Caucasian or White,The Blind Side,Spy game,Money Monster,Moneyball,Bridget Jones's Diary
John Webb,miguelgutierrez@example.org,538-03-9086,Female 35-54,Caucasian or White,American Beauty,The wrong trousers,Edward Scissorhands,Star Wars: Episode V - The Empire Strikes Back,Love Actually
Lindsay Gardner,rachel12@example.net,353-50-7235,Male 35-54,Caucasian or White,The Lion King,Rambo,The Hustler,jexi,joker
Richard Jordan,jennifercampbell@example.net,719-86-2098,Male 35-54,Caucasian or White,The Dark Knight,Titanic,Avatar,Avengers: Infinity War,Star Wars: Episode VI - Return of the Jedi
Anne Taylor,zcarrillo@example.com,705-46-8971,Female 35-54,Caucasian or White,Diary of a mad black woman,Die Another Day, , , 
Lisa Elliott,mathew22@example.org,809-23-2898,Female 25-34,Caucasian or White,The Little Mermaid,Harry Potter and the Chamber of Secrets,The Shawshank Redemption,The Green Mile,The Expendables
Larry Jones,zmorgan@example.org,556-11-5257,Female 35-54,Caucasian or White,Drama,Crime,Action Adventurez,Romance, 
Dustin Mann,rachelmarsh@example.org,520-96-0882,Female 25-34,Caucasian or White,The Princess Bride,Ella Enchanted,Harry Potter and the Sorcerer's Stone,Tangled,Beauty and the Beast
Cassandra Rich,faith12@example.org,653-47-6324,Male 35-54,Caucasian or White,Star Wars: Episode IV - A New Hope,Tombstone,Raiders of the Lost Ark,The Goonies,Without Limits
Dr. Kimberly Williams,jjohnston@example.com,841-43-1936,Female 14-17,Caucasian or White,The SpongeBob SquarePants Movie,Lilo & Stitch,The Little Rascals,10 Things I Hate About You,Clueless
Andrew Stewart,ysmith@example.org,741-46-4572,Female 25-34,Caucasian or White,The Passion of the Christ,Finding Nemo,Man on Fire,Happy Feet,Olympus Has Fallen
Jorge Holland,stephaniemeza@example.net,457-93-4041,Female 18-24,Caucasian or White,Mars,Avengers: Endgame,Suicide Squad,Wanted,Edge of Tomorrow
Jessica Page,glennsonya@example.org,587-42-5385,Female 14-17,Caucasian or White,To All the Boys I've Loved Before,Kingsman: The Golden Circle,Kingsman: The Secret Service,Rocketman, 
Alyssa Harper,shelley72@example.com,862-14-2544,Female 25-34,African-American or Black,Maleficent,Moana,Doctor Strange,27 Dresses,Fifty Shades Freed
Melissa Valentine,fnavarro@example.com,182-50-6333,Female 14-17,Caucasian or White,"McFarland, USA",Avengers: Endgame,Avengers: Infinity War,Thor: Ragnarok,Hidden Figures
James Oconnor,kennethkim@example.org,722-95-6571,Male 35-54,Caucasian or White,E.T.,Casino,Scarface,Leatherface,The Devil's Rejects
Melissa Burgess,markwood@example.org,738-93-9364,Female 18-24,Asian or Pacific Islander,Dumb and Dumber,The Lion King,Ratatouille,Ready Player One,Soul Surfer
Phillip Hull,sharonbutler@example.org,640-63-7248,Female 25-34,Caucasian or White,The Lion King,The Age of Adaline,The Lovely Bones,Lone Survivor,A Clockwork Orange
Richard Alexander,natalie20@example.com,756-96-7660,Male 35-54,Caucasian or White,Titanic,Avatar,Avengers: Endgame, , 
Brian Fox,unguyen@example.org,674-73-8844,Male 14-17,Caucasian or White,Avengers: Endgame,Remember the Titans,Field of Dreams,American Sniper,The Sandlot
Janice Williamson,andrea84@example.net,678-98-3813,Male 14-17,Caucasian or White,Jurassic Park,The Perfect Storm,Star Wars: Episode II - Attack of the Clones, , 
Christopher Love,kellerpenny@example.com,383-64-4798,Female 18-24,Caucasian or White,The Dark Knight,The Shawshank Redemption,Inglourious Basterds,The Notebook,Saving Private Ryan
Felicia Osborn,scottflores@example.com,253-73-2575,Male 35-54,Caucasian or White,Aladdin,Avengers: Endgame,Little Manhattan,Rocky,Spider-Man
Angela Bernard,victoria71@example.net,384-26-6955,Female 25-34,Asian or Pacific Islander,Pan's Labyrinth,Forrest Gump,Casablanca,Pulp Fiction,My Left Foot
April Wade,jordancraig@example.org,389-20-2394,Male 14-17,Caucasian or White,Harry Potter and the Goblet of Fire,Star Wars: Episode III - Revenge of the Sith,The Shawshank Redemption,For Love of the Game, 
Destiny Dixon,fletcherreginald@example.org,413-52-8302,Male 14-17,Caucasian or White,Harry Potter and the Deathly Hallows: Part 1,Batman,Harry Potter and the Chamber of Secrets, , 
Kenneth Miller,kimmorgan@example.com,393-18-0261,Male 35-54,American Indian or Alaska Native,Fear and Loathing in Las Vegas,The Salton Sea, , , 
Emily Ball,jonathan85@example.org,243-82-2602,Female 14-17,Asian or Pacific Islander,Spider-Man: Homecoming,Pitch Perfect,Crazy Rich Asians,Guardians of the Galaxy,Avengers: Infinity War
Sandra Miller,jennifer98@example.net,157-57-5282,Male 35-54,Caucasian or White,Scarface, , , , 
Andrea Hall,esuarez@example.com,737-43-5260,Male 25-34,Asian or Pacific Islander,Pretty Woman,Casablanca,Bird,The Wizard of Oz,42nd Street
Anna Vasquez,jeffreyhernandez@example.com,265-17-4849,Male 25-34,Caucasian or White,Transformers: Age of Extinction,Avengers: Age of Ultron,Avengers: Infinity War,Iron Man,Dark Frontier
Dennis Meyer,kristahowell@example.net,318-04-6983,Female 14-17,Caucasian or White,Avengers: Infinity War,Captain America, , , 
Robert Wiggins,fyoung@example.com,374-34-6134,Male 14-17,Caucasian or White,Spider-Man,TRON, , , 
Joseph Daniels,ichristensen@example.net,346-62-7350,Male 25-34,African-American or Black,Inception,The Matrix,The Shawshank Redemption,The Godfather,Stand by Me
Sara Hawkins,wsweeney@example.org,060-42-5735,Male 14-17,Caucasian or White,Firehouse dog,The Hunger Games,Resident Evil,Bridge to Terabithia,Willy Wonka & the Chocolate Factory
Eric Stewart,olsonkristen@example.com,157-91-5286,Female 14-17,Caucasian or White,Black Panther,The Blind Side,Driving miss daisy,Acrimony,Knocked Up
Martha Weeks,lisabrown@example.com,500-22-9188,Female 25-34,Asian or Pacific Islander,Forrest Gump,Love Actually,Mean Girls,Clueless,Crazy Rich Asians
John York,gravesstacy@example.com,429-15-7338,Female 18-24,Caucasian or White,Harry Potter and the Goblet of Fire,Alita: Battle Angel,Spirited Away,Howl's Moving Castle,My Neighbor Totoro
Jonathan Howard,dennisphillips@example.com,622-71-9533,Male 14-17,Caucasian or White,The Shawshank Redemption,Forrest Gump,joker,John Wick,Blood Diamond
Ronald Crawford,abigail32@example.org,128-78-9088,Male 14-17,Caucasian or White,Spider-Man,Avengers: Endgame,Thor,Children of Heaven,Frozen
Terri Williams,wangtaylor@example.net,169-52-3372,Female 14-17,Caucasian or White,Oranges and Sunshine,Dead Again,Sun Valley Serenade,Kiss and Cry,Like Mike
John Edwards,ufranklin@example.com,565-79-0797,Male 25-34,Caucasian or White,The Dark Knight,The Shawshank Redemption,Fast and Furious,Avengers: Endgame,Logan
Jason Simpson,michael73@example.org,865-94-3168,Male 35-54,Caucasian or White,The Hangover,Raiders of the Lost Ark,Talladega Nights: The Ballad of Ricky Bobby,Elf,Jurassic Park
Justin Carter,marybrown@example.net,456-20-7403,Female 25-34,Caucasian or White,Dumb and Dumber,Pearl Harbor,American Sniper,Billy Madison,Happy Gilmore
Elizabeth Lozano,brandon73@example.net,646-30-1285,Female 14-17,Caucasian or White,Mean girls,Nightmare on elm street,Bring it on,Donnie darko, 
Jordan Rodriguez,feliciacastaneda@example.net,347-04-0079,Male 14-17,Caucasian or White,Exorcist: The Beginning,The Nun, , , 
Kristin Clark,garciadavid@example.com,677-57-5998,Male 14-17,Caucasian or White,Marvel agents of shield,Batman vs superman,The sandlot,Aquaman, 
Walter Mccoy,sydneyodonnell@example.org,833-79-6921,Male 14-17,Caucasian or White,It,Benchwarmers,Wild Hogs,Road Trip,Shaun of the Dead
Ronald Manning,aabbott@example.net,508-99-0157,Female 14-17,Caucasian or White,Frozen,IT, , , 
Christopher Manning,richardsjamie@example.com,253-56-9799,Male 14-17,Caucasian or White,Harry Potter and the Chamber of Secrets,Star Wars- Rogue One,Cars,Bohemian Rhapsody,Avengers: Endgame
Robert Hamilton,lambertchristopher@example.org,279-77-5833,Male 18-24,Caucasian or White,Signs,Avengers: Endgame, , , 
Sara Riley,bentondarrell@example.com,361-77-4985,Female 14-17,Caucasian or White,Hocus Pocus,The Nightmare Before Christmas,Girl vs monster,Spooky Buddies,Casper
Timothy Smith MD,christopher90@example.com,842-01-8696,Male 14-17,Caucasian or White,Teenage Mutant Ninja Turtles,Digimon: The Movie,Rugrats Go Wild,Iron Man,Iron Man 2
Jason Nelson,philipdunlap@example.org,802-04-0328,Female 14-17,American Indian or Alaska Native,The Princess and the Frog,Ponyo,The Nightmare Before Christmas, , 
Mary Vance,jwallace@example.com,848-25-8647,Male 14-17,Caucasian or White,Mortal Engines,Captain America: Civil War,The Matrix,Toy Story,Finding Nemo
Tiffany Henry,kaufmanjacob@example.org,567-28-0701,Female 14-17,Caucasian or White,The Fault in Our Stars,Hairspray,The Last Song,Aquamarine,Pitch Perfect
Jay Lopez,andersonsusan@example.net,140-45-1448,Male 14-17,Caucasian or White,The SpongeBob SquarePants Movie,Spider-Man,The Avengers,Thor,Iron Man
Sharon Allen,hernandeztonya@example.net,466-42-2080,Female 14-17,Caucasian or White,Halloween,Madea,Forrest Gump, , 
Joseph Coffey,dsmith@example.com,726-62-1257,Male 14-17,Caucasian or White,Fast and Furious,Transformers: Dark of the Moon,It,Rambo III,Transformers: Age of Extinction
Christopher Beltran,timothy77@example.net,575-29-5962,Male 14-17,Caucasian or White,Friday,Avengers,Transformers,All about the benjamins,National Lampoon's Christmas Vacation
